time_stamp,pm2.5_alt,station,pm2.5_atm,pm2.5_cf_1
2022-04-08 05:00:00+00:00,20.8,100155,33.281,41.4145
2022-04-08 06:00:00+00:00,13.6,100155,26.579,27.259500000000003
2022-04-08 07:00:00+00:00,16.5,100155,33.0155,34.0945
2022-04-08 08:00:00+00:00,16.2,100155,33.0705,34.099999999999994
2022-04-08 09:00:00+00:00,11.7,100155,22.8535,24.1205
2022-04-08 10:00:00+00:00,9.2,100155,18.5015,18.503
2022-04-08 11:00:00+00:00,10.1,100155,20.589,20.590000000000003
2022-04-08 12:00:00+00:00,10.8,100155,21.7245,21.829500000000003
2022-04-08 13:00:00+00:00,9.9,100155,19.0515,20.004
2022-04-08 14:00:00+00:00,6.5,100155,12.425,12.428
2022-04-08 15:00:00+00:00,7.1,100155,13.41,13.41
2022-04-08 16:00:00+00:00,5.9,100155,10.613,10.613
2022-04-08 17:00:00+00:00,6.2,100155,10.7345,10.7345
2022-04-08 18:00:00+00:00,4.9,100155,7.6535,7.6535
2022-04-08 19:00:00+00:00,3.4,100155,5.165,5.165
2022-04-08 20:00:00+00:00,4.0,100155,6.0965,6.0965
2022-04-08 21:00:00+00:00,1.4,100155,1.5165,1.5165
2022-04-08 22:00:00+00:00,1.2,100155,1.179,1.179
2022-04-08 23:00:00+00:00,0.7,100155,0.3475,0.3475
2022-04-09 00:00:00+00:00,1.8,100155,2.2705,2.2885
2022-04-09 01:00:00+00:00,1.6,100155,2.031,2.031
2022-04-09 02:00:00+00:00,5.0,100155,7.8985,7.8985
2022-04-09 03:00:00+00:00,12.6,100155,21.177,22.5485
2022-04-09 04:00:00+00:00,6.7,100155,11.2525,11.5875
2022-04-09 05:00:00+00:00,11.7,100155,18.307,21.4105
2022-04-09 06:00:00+00:00,0.7,100155,0.525,0.525
2022-04-09 07:00:00+00:00,1.9,100155,2.5005,2.5005
2022-04-09 08:00:00+00:00,2.4,100155,3.5395000000000003,3.5395000000000003
2022-04-09 09:00:00+00:00,2.1,100155,3.036,3.036
2022-04-09 10:00:00+00:00,4.2,100155,7.1315,7.17
